out_airline_company,in_airline_company,dep_city,arr_city,out_dep_date,out_dep_time,out_duration,out_stop_num,out_arr_date,out_arr_time,in_dep_date,in_dep_time,in_duration,in_stop_num,in_arr_date,in_arr_time,price_ticket,hour_scrap,day_scrap
Lufthansa,Lufthansa,BRU,GRU,Aug 1,8:05 PM,13h 45m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,14h 40m,1 stop,Aug 16,1:55 PM,"2 465,75 €",16,27
"Lufthansa, operated by Cityjet For Brussels Airlines",Lufthansa,BRU,GRU,Aug 1,7:15 PM,14h 35m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,14h 40m,1 stop,Aug 16,1:55 PM,"2 465,75 €",16,27
Lufthansa,Lufthansa,BRU,GRU,Aug 1,8:05 PM,13h 45m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,18h 05m,1 stop,Aug 16,5:20 PM,"2 465,75 €",16,27
"Lufthansa, operated by Cityjet For Brussels Airlines",Lufthansa,BRU,GRU,Aug 1,7:15 PM,14h 35m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,18h 05m,1 stop,Aug 16,5:20 PM,"2 465,75 €",16,27
Lufthansa,Lufthansa,BRU,GRU,Aug 1,8:05 PM,13h 45m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,16h 35m,2 stops,Aug 16,3:50 PM,"2 334,19 €",16,27
Lufthansa,Lufthansa,BRU,GRU,Aug 1,6:05 PM,15h 45m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,14h 40m,1 stop,Aug 16,1:55 PM,"2 465,75 €",16,27
"Lufthansa, operated by Cityjet For Brussels Airlines",Lufthansa,BRU,GRU,Aug 1,7:15 PM,14h 35m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,16h 35m,2 stops,Aug 16,3:50 PM,"2 334,19 €",16,27
Lufthansa,Lufthansa,BRU,GRU,Aug 1,8:05 PM,13h 45m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,20h 05m,1 stop,Aug 16,7:20 PM,"2 315,75 €",16,27
Lufthansa,Lufthansa,BRU,GRU,Aug 1,6:05 PM,15h 45m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,18h 05m,1 stop,Aug 16,5:20 PM,"2 315,75 €",16,27
Lufthansa,Lufthansa,BRU,GRU,Aug 1,8:05 PM,13h 45m,1 stop,Aug 2,4:50 AM,Aug 15,6:15 PM,17h 55m,2 stops,Aug 16,5:10 PM,"2 334,19 €",16,27
